Region,Month,Year,ECATs,ACATs,V&T,ATV ,Snowmobile,Nav. Law,Penal/Other,TOTs,CFS,Warrants,Outreach,Warnings
1,6,2013,116,0,14,3,0,8,8,0,171,0,4,4
2,6,2013,113,15,4,0,0,1,1,0,108,0,5,28
3,6,2013,120,0,13,0,0,3,0,4,125,0,6,19
4,6,2013,104,8,13,9,0,9,0,7,216,0,20,21
5,6,2013,90,11,12,4,0,13,5,2,187,1,20,9
6,6,2013,81,2,6,10,0,11,20,0,86,0,8,12
7,6,2013,108,6,6,4,0,4,1,0,123,1,19,6
8,6,2013,103,0,23,0,0,16,11,0,130,1,32,32
1,6,2014,399,4,25,4,0,4,4,2,291,0,8,30
3,6,2014,139,0,10,0,0,5,3,5,155,1,12,13
4,6,2014,125,4,5,7,1,12,1,17,208,1,18,20
5,6,2014,114,5,11,3,0,31,56,0,212,0,19,15
6,6,2014,102,3,9,0,0,26,19,5,118,2,16,4
7,6,2014,188,18,6,0,0,19,2,0,160,5,18,10
8,6,2014,157,7,24,3,0,19,27,4,195,6,18,40
9,6,2014,188,3,34,16,0,20,10,0,165,1,14,12
1,6,2015,388,10,16,0,0,4,0,2,516,0,16,38
2,6,2015,159,11,1,0,0,0,3,0,147,8,3,21
3,6,2015,133,1,6,0,0,2,1,1,154,1,11,19
4,6,2015,85,7,0,0,0,9,0,1,189,0,24,16
5,6,2015,62,34,6,9,0,8,1,1,160,0,6,7
6,6,2015,116,2,10,2,0,14,0,4,210,2,26,4
7,6,2015,109,18,9,1,0,3,0,0,203,13,12,17
8,6,2015,141,16,34,6,0,6,48,0,197,7,22,50
9,6,2015,102,1,17,4,0,21,4,1,182,0,16,15
1,6,2016,246,28,8,0,0,5,5,0,255,1,2,8
2,6,2016,89,5,2,0,0,3,0,3,98,1,7,23
3,6,2016,106,1,8,1,0,0,0,0,197,1,6,6
4,6,2016,98,4,6,0,0,6,3,3,176,0,25,20
5,6,2016,132,31,17,0,0,26,7,0,243,0,8,7
6,6,2016,63,11,7,11,0,12,24,14,132,0,15,8
7,6,2016,120,12,17,10,0,3,2,0,244,0,13,16
8,6,2016,97,9,15,0,0,6,22,1,191,4,25,20
9,6,2016,82,10,11,2,0,19,0,0,236,0,14,13
1,7,2011,272,7,23,0,0,37,0,0,224,0,8,17
2,7,2011,279,9,20,1,0,0,41,4,86,1,4,10
3,7,2011,148,4,19,3,0,5,2,13,178,1,12,5
4,7,2011,111,1,13,5,0,8,1,5,200,4,22,15
5,7,2011,198,6,37,0,0,86,40,1,194,2,34,11
6,7,2011,94,6,13,7,0,5,38,1,131,0,6,11
7,7,2011,89,6,8,0,0,7,0,0,127,0,9,6
8,7,2011,148,4,20,1,0,26,0,16,162,3,13,47
9,7,2011,174,11,26,2,0,33,0,2,203,1,24,10
1,7,2012,262,1,10,4,0,23,8,0,164,0,3,38
2,7,2012,124,12,6,0,0,0,21,0,118,0,1,30
3,7,2012,142,0,7,6,0,1,3,5,173,0,6,16
4,7,2012,164,29,15,13,0,13,0,10,261,3,10,23
5,7,2012,126,9,9,3,0,59,44,3,234,1,29,4
6,7,2012,97,1,12,5,0,2,24,5,174,0,8,10
7,7,2012,120,8,9,5,0,18,5,0,151,0,14,8
8,7,2012,120,9,33,3,0,3,13,15,108,6,17,19
9,7,2012,152,12,18,8,0,5,2,0,197,0,28,13
1,7,2013,152,3,10,7,0,11,4,0,190,0,0,5
2,7,2013,90,14,4,0,0,0,0,0,92,0,2,13
3,7,2013,123,1,8,2,0,1,1,3,153,1,13,7
4,7,2013,115,4,2,8,0,7,4,3,185,0,14,34
5,7,2013,97,17,10,13,0,44,18,1,186,0,33,3
6,7,2013,40,4,7,2,0,16,40,0,97,0,23,8
7,7,2013,106,29,1,1,0,6,0,1,119,2,18,5
8,7,2013,114,5,21,0,0,8,27,2,129,3,32,26
9,7,2013,108,10,21,0,0,16,0,0,163,0,20,15
1,7,2014,396,6,32,0,0,14,10,0,266,0,3,32
2,7,2014,171,7,4,0,0,0,1,2,117,2,14,19
3,7,2014,134,0,5,0,0,2,0,0,148,2,15,13
4,7,2014,146,0,8,8,0,10,3,4,205,2,15,31
5,7,2014,111,7,15,1,0,44,12,5,217,1,33,9
6,7,2014,104,8,3,1,0,8,3,0,143,6,16,10
7,7,2014,120,21,18,1,0,11,2,0,184,3,22,11
8,7,2014,129,10,31,10,0,7,13,3,172,6,28,42
9,7,2014,105,1,12,0,0,9,4,0,115,7,31,19
1,7,2015,840,4,34,0,0,50,46,0,636,6,4,92
2,7,2015,158,4,1,0,0,0,7,1,140,5,10,12
3,7,2015,144,0,3,1,0,0,0,0,192,9,18,15
4,7,2015,102,9,6,0,0,8,1,0,204,2,13,6
5,7,2015,120,19,16,5,0,40,31,0,274,2,29,7
6,7,2015,140,4,34,10,0,24,8,6,280,0,44,32
7,7,2015,132,11,14,2,0,18,0,0,234,3,19,18
8,7,2015,114,12,29,3,0,8,43,1,185,6,23,32
9,7,2015,108,11,18,3,0,8,1,1,163,0,26,8
1,7,2016,361,5,13,0,0,4,3,2,248,0,0,13
2,7,2016,108,5,3,0,0,3,0,1,96,4,5,10
3,7,2016,77,2,9,0,0,0,0,0,182,1,13,3
4,7,2016,107,8,18,0,0,5,1,6,216,0,12,36
5,7,2016,124,146,13,0,0,39,23,0,362,4,21,8
6,7,2016,70,36,6,5,0,2,7,3,130,2,9,3
7,7,2016,122,2,14,0,0,19,0,0,246,1,19,14
8,7,2016,105,20,10,13,0,3,12,0,211,1,30,27
9,7,2016,72,21,5,2,0,2,0,0,165,3,16,11
1,8,2011,169,7,13,0,0,6,0,2,211,0,6,39
2,8,2011,240,31,11,0,0,6,25,0,161,1,8,93
3,8,2011,106,0,22,1,0,0,0,4,188,0,19,39
4,8,2011,80,8,4,2,0,0,2,9,201,2,42,7
5,8,2011,154,5,13,6,0,33,27,3,208,4,32,11
6,8,2011,69,3,7,23,0,7,1,2,122,1,17,14
7,8,2011,93,19,11,9,0,5,0,0,113,1,31,3
8,8,2011,136,3,33,0,0,19,9,5,146,0,35,57
9,8,2011,81,9,26,9,0,5,3,0,163,1,58,14
1,8,2012,260,4,9,3,0,4,2,0,184,0,5,34
2,8,2012,95,13,5,0,0,1,1,0,109,5,10,41
3,8,2012,106,0,6,0,0,2,0,4,176,5,38,41
4,8,2012,76,26,9,4,0,9,2,13,269,4,30,33
5,8,2012,78,7,26,7,0,15,33,0,215,0,42,6
6,8,2012,61,3,4,3,0,1,0,5,154,1,24,11
7,8,2012,144,16,21,0,0,10,1,0,188,0,31,13
8,8,2012,116,3,22,7,0,5,3,1,152,1,23,26
9,8,2012,109,11,13,1,0,5,2,0,196,0,70,18
1,8,2013,131,4,8,4,0,3,6,0,198,0,1,15
2,8,2013,85,5,1,0,0,0,0,0,85,0,1,15
3,8,2013,72,0,5,0,0,0,0,4,130,0,6,7
4,8,2013,104,7,6,18,0,10,0,7,193,1,16,18
5,8,2013,65,6,12,3,0,29,33,2,169,2,24,5
6,8,2013,46,0,9,5,0,3,0,0,89,1,26,17
7,8,2013,65,11,15,0,0,1,0,1,124,0,41,12
8,8,2013,84,1,22,0,0,4,1,0,118,1,62,39
9,8,2013,94,15,21,0,0,10,4,1,146,2,38,18
1,8,2014,436,4,21,2,0,17,1,0,322,0,3,49
2,8,2014,355,11,3,0,0,1,6,0,86,1,9,13
3,8,2014,158,1,7,0,0,2,0,0,153,3,6,6
4,8,2014,85,11,3,8,0,2,0,5,183,4,22,15
5,8,2014,81,15,26,7,0,35,12,0,219,0,26,6
6,8,2014,97,5,18,9,0,9,10,0,134,3,28,20
7,8,2014,98,4,10,14,0,11,3,2,157,0,25,9
8,8,2014,118,3,26,3,0,7,20,1,162,5,69,20
9,8,2014,130,9,7,0,0,13,6,3,189,0,54,6
1,8,2015,796,10,36,0,0,6,4,4,558,0,2,62
2,8,2015,176,2,5,0,0,5,4,1,110,1,4,16
3,8,2015,135,7,5,0,0,8,0,1,168,0,9,2
4,8,2015,92,20,8,0,0,13,0,0,212,1,29,10
5,8,2015,120,24,26,6,0,35,18,0,271,1,28,5
6,8,2015,206,26,12,0,0,32,30,20,276,0,60,6
7,8,2015,149,14,16,3,0,13,8,0,246,3,46,9
8,8,2015,100,5,35,4,0,6,35,8,175,0,61,35
9,8,2015,104,5,10,4,0,10,2,0,174,0,64,9
1,8,2016,266,4,14,0,0,1,8,0,234,0,1,17
2,8,2016,163,6,3,1,0,0,0,1,132,0,10,21
3,8,2016,166,1,12,3,0,1,2,1,212,1,5,23
4,8,2016,89,1,5,3,0,4,0,1,171,0,23,19
5,8,2016,94,24,11,6,0,20,18,0,338,0,28,14
6,8,2016,51,0,5,1,0,1,6,1,108,0,15,11
7,8,2016,96,13,10,8,0,8,0,1,205,2,38,5
8,8,2016,83,3,5,0,0,0,1,1,185,2,44,26
9,8,2016,53,15,12,0,0,3,0,0,186,0,53,15
1,9,2011,124,4,15,1,0,8,2,0,161,0,9,10
2,9,2011,264,7,10,0,0,6,5,0,112,4,12,45
3,9,2011,116,0,21,2,0,0,0,9,180,0,26,21
4,9,2011,31,7,1,4,0,0,0,0,229,0,41,9
5,9,2011,113,6,12,17,0,11,10,6,191,2,45,5
6,9,2011,78,1,3,5,0,3,5,2,165,0,36,4
7,9,2011,276,4,9,2,0,0,0,0,111,2,37,7
8,9,2011,139,3,21,8,0,2,8,1,158,3,49,20
9,9,2011,89,18,41,1,0,9,0,0,145,0,58,12
1,9,2012,195,4,4,1,0,12,0,0,153,0,9,6
2,9,2012,139,6,5,0,0,0,3,1,93,0,7,36
3,9,2012,105,1,13,4,0,0,7,5,169,2,28,17
4,9,2012,67,40,4,0,0,12,1,2,268,0,37,31
5,9,2012,64,3,5,12,0,2,5,1,181,1,48,13
